what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1557287759389
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1557287759405
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1557287759406
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1557287759419
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1557287759419
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1557287759420
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1557287759421
os,sysinfo,,,"win32",1557287759426
arch,sysinfo,,,"x86",1557287759426
ws,sysinfo,,,"win32",1557287759426
locale,sysinfo,,,"zh_CN",1557287759426
processors,sysinfo,,,"4",1557287759426
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1557287759426
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1557287759426
java.specification.name,sysinfo,,,"Java Platform API Specification",1557287759426
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1557287759426
java.specification.version,sysinfo,,,"1.6",1557287759426
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1557287759426
java.version,sysinfo,,,"1.6.0_23",1557287759426
java.vm.info,sysinfo,,,"mixed mode",1557287759426
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1557287759426
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1557287759426
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1557287759426
java.vm.specification.version,sysinfo,,,"1.0",1557287759426
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1557287759427
java.vm.version,sysinfo,,,"19.0-b09",1557287759427
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1557287759679
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1557287760097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557287760140
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1557287760527
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1557287760918
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1557287767471
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557287775675
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1557287777817
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1557287779947
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1557287780016
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1557287780040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557287783432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557287785769
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1557287786943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1557287786950
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1557287786982
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1557287790398
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1557287791071
