what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1549852658210
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1549852658210
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1549852658211
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1549852658216
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1549852658216
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1549852658217
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1549852658217
os,sysinfo,,,"win32",1549852658222
arch,sysinfo,,,"x86",1549852658222
ws,sysinfo,,,"win32",1549852658222
locale,sysinfo,,,"zh_CN",1549852658222
processors,sysinfo,,,"4",1549852658222
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1549852658222
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1549852658222
java.specification.name,sysinfo,,,"Java Platform API Specification",1549852658222
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1549852658222
java.specification.version,sysinfo,,,"1.6",1549852658222
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1549852658222
java.version,sysinfo,,,"1.6.0_23",1549852658222
java.vm.info,sysinfo,,,"mixed mode",1549852658222
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1549852658222
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1549852658222
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1549852658222
java.vm.specification.version,sysinfo,,,"1.0",1549852658222
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1549852658222
java.vm.version,sysinfo,,,"19.0-b09",1549852658222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1549852658231
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1549852659339
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1549852660157
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1549852667696
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1549852669403
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1549852671440
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1549852671909
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1549852671913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1549852674279
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1549852674385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1549852685000
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1549852691206
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1549852691206
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1549852693638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1549852693851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1549852693912
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1549852696163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1549852701105
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1549852701131
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1549852705067
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1549852705572
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1549852705611
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1549852705620
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1549852705622
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1549852705632
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1549852708097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1549852736784
