what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1544173851213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544173856350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544173873351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544173881829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544173882740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544173924097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544173926976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544174041296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544174042239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544174042443
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544174043788
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544174054319
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1544174056252
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1544174058189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544174138663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544174334194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544174336374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544175729532
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1544175730563
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1544175734688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544175734712
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1544175734802
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1544175734816
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1544175734818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544175842320
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1544175843254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1544175851016
