what,kind,bundleId,bundleVersion,description,time
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1555988637548
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1555988637550
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1555988637552
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1555988637553
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1555988637555
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1555988637556
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1555988637557
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1555988637559
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1555988637561
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1555988637562
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1555988637564
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1555988637567
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1555988637569
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1555988637570
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1555988637571
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110928-1504,"org.eclipse.core.filebuffers",1555988637572
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1555988637574
started,bundle,org.eclipse.core.jobs,3.5.101.v20120113-1953,"org.eclipse.core.jobs",1555988637575
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1555988637577
started,bundle,org.eclipse.core.resources,3.7.101.v20120125-1505,"org.eclipse.core.resources",1555988637578
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1555988637579
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1555988637580
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1555988637581
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1555988637583
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1555988637584
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1555988637586
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1555988637587
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1555988637588
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1555988637589
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1555988637589
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1555988637592
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1555988637593
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1555988637595
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1555988637596
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1555988637598
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1555988637599
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1555988637600
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1555988637602
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1555988637602
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1555988637602
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1555988637604
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1555988637606
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1555988637607
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1555988637608
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1555988637610
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1555988637610
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1555988637611
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1555988637612
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1555988637613
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1555988637614
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1555988637616
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1555988637617
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1555988637618
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1555988637618
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1555988637619
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1555988637619
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1555988637620
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1555988637621
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1555988637622
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1555988637623
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1555988637623
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1555988637624
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1555988637625
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1555988637625
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1555988637625
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1555988637626
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1555988637626
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1555988637627
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1555988637628
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1555988637629
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1555988637629
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1555988637630
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1555988637630
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1555988637630
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1555988637631
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1555988637631
started,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1555988637632
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1555988637632
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1555988637632
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1555988637632
os,sysinfo,,,"win32",1555988637634
arch,sysinfo,,,"x86",1555988637634
ws,sysinfo,,,"win32",1555988637634
locale,sysinfo,,,"zh_CN",1555988637634
processors,sysinfo,,,"4",1555988637634
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1555988637634
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1555988637634
java.specification.name,sysinfo,,,"Java Platform API Specification",1555988637634
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1555988637634
java.specification.version,sysinfo,,,"1.6",1555988637634
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1555988637634
java.version,sysinfo,,,"1.6.0_23",1555988637634
java.vm.info,sysinfo,,,"mixed mode",1555988637634
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1555988637634
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1555988637634
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1555988637634
java.vm.specification.version,sysinfo,,,"1.0",1555988637634
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1555988637634
java.vm.version,sysinfo,,,"19.0-b09",1555988637634
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1555988639810
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1555988639937
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1555988640042
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1555988640045
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1555988640046
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1555988640047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555988640368
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1555988751065
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1555988751097
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1555988751557
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1555988752415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555988758331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555988764993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555988826362
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1555988829366
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1555988829388
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1555988829471
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1555988830030
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1555988831136
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1555988842195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555988847691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555988854079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555988858169
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555988886944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555988890735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555988904857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555988906789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555989571955
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555989582076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555989869119
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555989873238
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555989874606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555989890888
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555989892837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555989895336
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555989900932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1555989901858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555989902488
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1555990615795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555990615801
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1555990615820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555990618251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1555997720752
