what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556099778514
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556099868845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556099872231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556099916076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1556099917461
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556099918940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556099919105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556099919114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556099952936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556099956821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556100024870
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1556100026042
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556100030954
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556100037885
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556100039776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556101787566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556101788994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556101789990
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556101790390
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1556101792335
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1556101793878
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1556101793912
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1556101793918
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1556101793918
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1556101793934
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1556101793934
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1556101793934
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1556101793934
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1556101793934
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1556101793934
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1556101793934
stopped,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1556101793946
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1556101793946
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1556101793959
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1556101794029
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1556101794029
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1556101794055
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1556101794072
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1556101794072
