what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems encountered while deleting resources.",1556248865798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556248868736
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1556248868752
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1556248868752
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1556248869392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556248870361
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556248886549
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1556248887330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1556248888206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556248888941
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556248894361
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1556248895720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556248899082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556248900238
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1556248900254
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1556248903238
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1556248904518
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1556248905284
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1556248912990
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556248914505
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556248917426
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1556248917442
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1556248917442
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1556248919382
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1556248936616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556248952525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556248953400
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556248954853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556248962370
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1556248974118
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556248976352
error,log,,,"Could not move: F:\\Qsys\\qsys_can_loopback\\qsys\\software\\qsys_can_loopback\\obj\\default\\.force_relink.",1556248977540
