what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"19.0-b09",1556251362247
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1556251362575
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1556251365419
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1556251365450
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1556251367085
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1556251372599
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1556251372614
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1556251372614
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1556251372614
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1556251376176
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1556251377489
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1556251377489
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556251379707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556251381972
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1556251382456
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1556251382613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556251383019
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1556251388346
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1556251388580
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1556251388580
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1556251391121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556251395716
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1556251395763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556251404479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556251408956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556251414940
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556251422845
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556251422907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556251422970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556251424110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556251643546
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1556251644530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556251646468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556251648990
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1556251649397
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1556251654458
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1556251654692
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1556251657200
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1556251660575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556251667605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556251837587
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1556251838883
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556251841976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1556251844335
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1556251844726
