what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1539332188827
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1539332188827
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1539332188828
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1539332188828
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1539332188829
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1539332188829
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1539332188830
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1539332188830
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1539332188830
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1539332188831
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1539332188831
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1539332188832
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1539332188832
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1539332188833
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1539332188833
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1539332188833
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1539332188834
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1539332188835
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1539332188835
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1539332188835
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1539332188836
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1539332188836
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1539332188837
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1539332188837
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1539332188838
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1539332188838
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1539332188838
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1539332188838
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1539332188839
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1539332188839
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1539332188839
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1539332188839
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1539332188839
os,sysinfo,,,"win32",1539332188841
arch,sysinfo,,,"x86",1539332188841
ws,sysinfo,,,"win32",1539332188841
locale,sysinfo,,,"zh_CN",1539332188841
processors,sysinfo,,,"4",1539332188841
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1539332188841
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1539332188841
java.specification.name,sysinfo,,,"Java Platform API Specification",1539332188841
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1539332188841
java.specification.version,sysinfo,,,"1.6",1539332188841
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1539332188841
java.version,sysinfo,,,"1.6.0_23",1539332188841
java.vm.info,sysinfo,,,"mixed mode",1539332188841
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1539332188841
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1539332188841
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1539332188841
java.vm.specification.version,sysinfo,,,"1.0",1539332188841
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1539332188841
java.vm.version,sysinfo,,,"19.0-b09",1539332188841
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1539332189287
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1539332190686
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1539332191022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1539332191042
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1539332192297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1539332193987
