what,kind,bundleId,bundleVersion,description,time
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1551145221936
java.vm.version,sysinfo,,,"19.0-b09",1551145221936
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1551145221967
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1551145222983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145223436
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145225452
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1551145230092
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551145233452
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551145233468
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1551145233484
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551145235312
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1551145235358
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551145235358
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145245467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145246724
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1551145246734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1551145246734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145248952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145263013
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1551145263029
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1551145263029
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1551145266579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145266610
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1551145266919
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1551145267044
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1551145267060
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1551145267060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145269342
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145271389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145273638
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1551145273654
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1551145273654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145273748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145277310
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551145279998
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551145280014
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1551145286093
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1551145289468
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1551145291842
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1551145294560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145301154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145305310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1551145305310
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551145306123
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1551145312670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145313170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145320842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145320885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145324499
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1551145326780
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1551145334716
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1551145335045
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1551145335076
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1551145350363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1551145351857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145353123
error,log,,,"WARNING: Blocked recursive attempt to close part org.eclipse.cdt.make.editor while still in the middle of activating it",1551145353139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145354499
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.ui.console.ConsoleView while still in the middle of activating part org.eclipse.cdt.make.editor",1551145354530
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1551145355966
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551145356029
closed,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1551145356029
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1551145357717
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1551145358513
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145358841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145367499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145367795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145368764
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1551145368858
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551145371951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551145374959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551146399561
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1551146402721
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1551146404811
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1551146404826
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551146405799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551146408446
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1551146414975
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1551146414976
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1551146417557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551146417830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551146423610
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1551146423635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551146427793
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1551146429526
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1551146429836
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1551146429857
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551146490830
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1551146493347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551146497372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551146520834
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1551146521560
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1551146522798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551146529201
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1551146531499
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1551146531514
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1551146531514
