what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547187981999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547187989708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547187994920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188010686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188012641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188018839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188026069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188026100
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188056182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188057760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188142055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188146689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188148437
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1547188148437
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1547188148437
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188151575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188374013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188420545
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188423948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188445478
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188452126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188453546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188555958
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188563371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188572129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188573814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188576766
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1547188576781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188587422
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188594369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188597585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188605191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188610902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188622295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188625118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188744744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188747663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188986197
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547188986992
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189018508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189021410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189042830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189047636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189055910
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189059344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189079778
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1547189080058
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1547189080090
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1547189084068
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189085332
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189088594
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1547189088594
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1547189089703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189097959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189098429
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189099885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189108785
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1547189109753
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189110642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189331077
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1547189334108
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1547189334342
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1547189334373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189343363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189344003
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1547189344986
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1547189346062
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1547189346671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189347014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189358221
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1547189389785
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1547189391223
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189393912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189396191
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1547189397690
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189398029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1547189538125
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1547189695061
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1547189696810
