what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548836135763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548836222183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548836223307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548836261644
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1548836263613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548836266780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548836269994
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1548836270531
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548836274463
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1548836274804
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548836285490
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1548836288969
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548836291243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548836294403
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1548836294915
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548836298958
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1548836299339
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548836310314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548836314181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548836327298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548836334029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548836340621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548836341464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548836381984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548836382718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548836863295
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1548836863358
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548836864030
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548836882828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548837302578
executed,command,com.altera.sbtgui.flash.plugin,13.1.0.162,"com.altera.sbtgui.flash.plugin.commands.flashCommand",1548837305838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548837306166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548837359600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548837363427
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548837471176
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1548837475089
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548837477630
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1548837481704
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548837485976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548837486319
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1548837486335
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548837497626
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1548837499720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548837501960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548837505194
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1548837505713
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548837509480
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1548837509808
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548837520882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548837522837
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548837531901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548837533398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548837719551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548837721402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548837745423
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548837755250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548839284113
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548839298359
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548839888234
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1548839888421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548840192517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548840244062
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1548840244874
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1548840253109
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548840279798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548841080608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548841094735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548841582735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1548841616906
