what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1552266561911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552266570561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552266574449
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1552266582155
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1552266582165
opened,editor,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1552266582303
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1552266584330
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1552266584383
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1552266588839
closed,editor,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui.SourceNotFoundEditor",1552266588920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552266592065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552266592179
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1552266592194
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552266598744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552266608494
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1552266640846
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1552266640912
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1552266646311
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1552266646316
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1552266675344
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552266677184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552267748895
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1552267751393
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1552267751393
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1552267780983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552267788043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552267792367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552267796272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552267898865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552267902043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552267907510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552267909013
error,log,,,"Internal Error",1552268014250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268014268
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1552268014322
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1552268014327
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1552268014449
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1552268162775
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1552268162782
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1552268163713
activated,perspective,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CPerspective",1552268166055
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1552268166069
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268167689
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268326387
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1552268326428
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1552268328328
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1552268329280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268331892
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268337260
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1552268338106
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1552268339096
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1552268340624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268341024
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268485693
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1552268489603
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1552268490652
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1552268490673
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1552268492291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268494792
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1552268507133
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1552268521538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268523285
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1552268523293
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1552268543898
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1552268547825
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1552268548834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268553201
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1552268565711
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1552268580030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268582269
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1552268582276
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1552268602661
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1552268602668
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1552268622137
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1552268622810
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1552268623631
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268627402
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268629559
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1552268631100
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1552268632047
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1552268633214
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268633603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268639161
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1552268644043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268645513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268646795
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1552268666940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268670144
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1552268683091
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1552268699727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268701201
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1552268701209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268728292
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268741347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268744604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268752114
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1552268756906
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1552268771215
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1552268772872
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1552268793467
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1552268892689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268895580
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268903305
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1552268908010
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1552268922175
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1552268924427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268934467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1552268945132
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1552268945180
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1552268945183
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1552268948023
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1552268948129
