what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1534208901790
java.specification.name,sysinfo,,,"Java Platform API Specification",1534208901790
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1534208901790
java.specification.version,sysinfo,,,"1.6",1534208901790
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1534208901790
java.version,sysinfo,,,"1.6.0_23",1534208901790
java.vm.info,sysinfo,,,"mixed mode",1534208901790
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1534208901790
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1534208901790
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1534208901790
java.vm.specification.version,sysinfo,,,"1.0",1534208901790
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1534208901790
java.vm.version,sysinfo,,,"19.0-b09",1534208901790
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1534208902058
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1534208902803
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534208903120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534208905956
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1534208911833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1534208911843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534208922206
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534208926504
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1534208926604
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1534208926636
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1534208926772
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1534208926853
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1534208926853
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1534208926853
stopped,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1534208926863
stopped,bundle,com.altera.sbtgui.ui,13.1.0.162,"com.altera.sbtgui.ui",1534208926863
stopped,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1534208926863
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1534208926863
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1534208926863
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1534208926863
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1534208926863
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1534208926863
stopped,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1534208926863
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1534208926863
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1534208926863
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1534208926863
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1534208926863
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1534208926863
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1534208926873
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1548051455938
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1548051455939
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1548051455945
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1548051455956
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1548051455956
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1548051455963
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1548051455964
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1548051455964
