what,kind,bundleId,bundleVersion,description,time
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1539347416437
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1539347418521
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1539347422089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1539347431328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1539347434989
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1539347440269
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1539347443519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1539347574377
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1539347579574
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1539347587691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1539347595258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1539347607673
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1539347607683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1539347613222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1539347620851
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1539347626691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1539347632115
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1539347634132
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1539347645766
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1539347651298
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1539347676649
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1539347679299
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1539347684715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1539347701466
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1539347705930
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1539347713219
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1539347718672
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1539347744375
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1539347746381
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1539347755286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1539347761008
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1539347763077
