what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1542629711970
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1542629711971
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1542629711971
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1542629711972
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1542629711972
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1542629711973
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1542629711973
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1542629711973
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1542629711974
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1542629711974
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1542629711975
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1542629711975
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1542629711976
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1542629711976
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1542629711976
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1542629711977
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1542629711977
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1542629711978
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1542629711978
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1542629711978
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1542629711979
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1542629711979
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1542629711980
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1542629711980
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1542629711981
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1542629711981
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1542629711981
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1542629711981
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1542629711982
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1542629711982
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1542629711982
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1542629711982
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1542629711982
os,sysinfo,,,"win32",1542629711984
arch,sysinfo,,,"x86",1542629711984
ws,sysinfo,,,"win32",1542629711984
locale,sysinfo,,,"zh_CN",1542629711984
processors,sysinfo,,,"4",1542629711984
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1542629711984
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1542629711984
java.specification.name,sysinfo,,,"Java Platform API Specification",1542629711984
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1542629711984
java.specification.version,sysinfo,,,"1.6",1542629711984
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1542629711984
java.version,sysinfo,,,"1.6.0_23",1542629711984
java.vm.info,sysinfo,,,"mixed mode",1542629711984
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1542629711984
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1542629711984
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1542629711984
java.vm.specification.version,sysinfo,,,"1.0",1542629711984
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1542629711984
java.vm.version,sysinfo,,,"19.0-b09",1542629711984
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1542629712151
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1542629712312
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1542629713046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629713322
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629714879
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1542629716965
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1542629717235
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1542629717239
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629718670
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1542629718777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629720818
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1542629721255
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1542629721260
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1542629725193
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1542629725535
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1542629725540
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1542629725540
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1542629725541
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1542629725547
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1542629727887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629729342
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1542629749812
